poison_method,model_name,noise_multiplier,max_grad_norm,epsilon_theoretical,epsilon_empirical_lb,gap_ratio,attack_advantage,clean_acc_mean,utility_drop,privacy_utility_score
svd_lowvar,mlp,1.2,1.0,5.490864242694175,0.0584091837957773,94.00686477476744,0.56,0.9372666666666666,0.0089333333333331,0.05474498099898887
svd_lowvar,mlp,1.2,1.0,5.490864242694175,0.0584091837957773,94.00686477476744,0.56,0.9372666666666666,0.0087999999999999,0.05474498099898887
square,logreg,1.2,0.5,5.490864242694175,0.0400948945201146,136.94671873845547,0.68,0.9287333333333332,0.0495999999999998,0.03723746503731443
square,logreg,1.2,0.5,5.490864242694175,0.0400948945201146,136.94671873845547,0.68,0.9287333333333332,0.0495999999999998,0.03723746503731443
square,logreg,1.2,0.5,5.490864242694175,0.0400948945201146,136.94671873845547,0.68,0.9287333333333332,0.0495999999999998,0.03723746503731443
svd_lowvar,logreg,0.4,0.5,43.40606478401999,0.0400948945201146,1082.583338939681,0.68,0.9282666666666668,0.0558666666666667,0.03721875408653839
svd_lowvar,logreg,0.4,0.5,43.40606478401999,0.0400948945201146,1082.583338939681,0.68,0.9282666666666668,0.0558000000000001,0.03721875408653839
svd_lowvar,logreg,0.4,0.5,43.40606478401999,0.0400948945201146,1082.583338939681,0.68,0.9282666666666668,0.0558000000000001,0.03721875408653839
square,logreg,0.4,0.5,43.40606478401999,0.0352475450074573,1231.463489863948,0.64,0.9282666666666668,0.0485333333333332,0.032719121112255695
square,logreg,0.4,0.5,43.40606478401999,0.0352475450074573,1231.463489863948,0.64,0.9282666666666668,0.0485333333333332,0.032719121112255695
square,logreg,0.4,0.5,43.40606478401999,0.0352475450074573,1231.463489863948,0.64,0.9282666666666668,0.0485333333333332,0.032719121112255695
square,logreg,0.8,0.5,11.24642254152866,0.0352475450074573,319.0696696507304,0.64,0.9286666666666668,0.0492666666666667,0.03273322013025868
square,logreg,0.8,0.5,11.24642254152866,0.0352475450074573,319.0696696507304,0.64,0.9286666666666668,0.0492666666666667,0.03273322013025868
square,logreg,0.8,0.5,11.24642254152866,0.0352475450074573,319.0696696507304,0.64,0.9286666666666668,0.0492666666666667,0.03273322013025868
svd_lowvar,logreg,0.8,0.5,11.24642254152866,0.0352475450074573,319.0696696507304,0.64,0.9286666666666668,0.0569333333333333,0.03273322013025868
svd_lowvar,logreg,0.8,0.5,11.24642254152866,0.0352475450074573,319.0696696507304,0.64,0.9286666666666668,0.0569333333333333,0.03273322013025868
svd_lowvar,logreg,0.8,0.5,11.24642254152866,0.0352475450074573,319.0696696507304,0.64,0.9286666666666668,0.0569333333333333,0.03273322013025868
square,mlp,0.4,1.0,43.40606478401999,0.0352475450074573,1231.463489863948,0.64,0.9374,0.0081999999999999,0.03304104868999047
square,mlp,0.4,1.0,43.40606478401999,0.0352475450074573,1231.463489863948,0.64,0.9374,0.0081999999999999,0.03304104868999047
square,mlp,0.4,1.0,43.40606478401999,0.0352475450074573,1231.463489863948,0.64,0.9374,0.0081999999999999,0.03304104868999047
svd_lowvar,mlp,1.2,1.0,5.490864242694175,0.0337580909021494,162.65328091597047,0.52,0.9372666666666666,0.0089333333333331,0.03164033333288789
svd_lowvar,logreg,1.2,0.5,5.490864242694175,0.0261981894526209,209.58945474550163,0.6,0.9287333333333332,0.0573333333333333,0.024331131817630778
svd_lowvar,logreg,1.2,0.5,5.490864242694175,0.0261981894526209,209.58945474550163,0.6,0.9287333333333332,0.0572666666666665,0.024331131817630778
svd_lowvar,logreg,1.2,0.5,5.490864242694175,0.0261981894526209,209.58945474550163,0.6,0.9287333333333332,0.0573333333333333,0.024331131817630778
square,mlp,0.8,1.0,11.24642254152866,0.0261981894526209,429.28243426392726,0.6,0.9374666666666668,0.0082000000000002,0.02455992933885034
square,mlp,0.8,1.0,11.24642254152866,0.0261981894526209,429.28243426392726,0.6,0.9374666666666668,0.0082000000000002,0.02455992933885034
square,mlp,0.8,1.0,11.24642254152866,0.0261981894526209,429.28243426392726,0.6,0.9374666666666668,0.0082000000000002,0.02455992933885034
square,mlp,1.2,1.0,5.490864242694175,0.0249014313418975,220.50396088901132,0.56,0.9372666666666666,0.0082666666666666,0.02333928154904913
square,mlp,1.2,1.0,5.490864242694175,0.0249014313418975,220.50396088901132,0.56,0.9372666666666666,0.0082666666666666,0.02333928154904913
square,mlp,1.2,1.0,5.490864242694175,0.0249014313418975,220.50396088901132,0.56,0.9372666666666666,0.0082666666666666,0.02333928154904913
square,logreg,0.4,1.0,43.40606478401999,0.0183763322170968,2362.063564764908,0.48,0.9385333333333332,0.0026666666666664,0.017246800330152582
square,logreg,0.4,1.0,43.40606478401999,0.0183763322170968,2362.063564764908,0.48,0.9385333333333332,0.0026666666666664,0.017246800330152582
square,logreg,0.4,1.0,43.40606478401999,0.0183763322170968,2362.063564764908,0.48,0.9385333333333332,0.0026666666666664,0.017246800330152582
