seed,num_trials,poisoning_k,alpha,delta,batch_size,epochs,learning_rate,weight_decay,trigger_size,target_label,poison_method,svd_scale,model_name,noise_multiplier,max_grad_norm,epsilon_theoretical,epsilon_empirical_lb,gap_ratio,attack_advantage,utility_drop,threshold,clean_trigger_mean,poison_trigger_mean,clean_acc_mean,poison_acc_mean,n_trials,n_estimation_trials,debug
42,50,16,0.05,1e-05,128,4,0.15,0.0,6,1,square,0.5,logreg,0.4,0.5,43.40606478401999,0.0352475450074573,1231.463489863948,0.64,0.0485333333333332,0.5149999999999999,0.4678000000000001,0.5996,0.9282666666666668,0.8797333333333335,50,25,"{'p_clean_lo': 0.025465396647733195, 'p_clean_hi': 0.31219030728623537, 'p_poison_lo': 0.5487119821833135, 'p_poison_hi': 0.9064355606682571, 'p_clean_miss_lo': 0.6878096927137647, 'p_clean_miss_hi': 0.9745346033522668, 'p_poison_miss_lo': 0.09356443933174288, 'p_poison_miss_hi': 0.4512880178166865, 'ratio': 1.7576201739031585, 'direction': 'event_poison_vs_clean'}"
42,50,16,0.05,1e-05,128,4,0.15,0.0,6,1,square,1.0,logreg,0.4,0.5,43.40606478401999,0.0352475450074573,1231.463489863948,0.64,0.0485333333333332,0.5149999999999999,0.4678000000000001,0.5996,0.9282666666666668,0.8797333333333335,50,25,"{'p_clean_lo': 0.025465396647733195, 'p_clean_hi': 0.31219030728623537, 'p_poison_lo': 0.5487119821833135, 'p_poison_hi': 0.9064355606682571, 'p_clean_miss_lo': 0.6878096927137647, 'p_clean_miss_hi': 0.9745346033522668, 'p_poison_miss_lo': 0.09356443933174288, 'p_poison_miss_hi': 0.4512880178166865, 'ratio': 1.7576201739031585, 'direction': 'event_poison_vs_clean'}"
42,50,16,0.05,1e-05,128,4,0.15,0.0,6,1,square,2.0,logreg,0.4,0.5,43.40606478401999,0.0352475450074573,1231.463489863948,0.64,0.0485333333333332,0.5149999999999999,0.4678000000000001,0.5996,0.9282666666666668,0.8797333333333335,50,25,"{'p_clean_lo': 0.025465396647733195, 'p_clean_hi': 0.31219030728623537, 'p_poison_lo': 0.5487119821833135, 'p_poison_hi': 0.9064355606682571, 'p_clean_miss_lo': 0.6878096927137647, 'p_clean_miss_hi': 0.9745346033522668, 'p_poison_miss_lo': 0.09356443933174288, 'p_poison_miss_hi': 0.4512880178166865, 'ratio': 1.7576201739031585, 'direction': 'event_poison_vs_clean'}"
42,50,16,0.05,1e-05,128,4,0.15,0.0,6,1,square,0.5,logreg,0.4,1.0,43.40606478401999,0.0183763322170968,2362.063564764908,0.48,0.0026666666666664,0.4783333333333333,0.4614666666666667,0.4852666666666665,0.9385333333333332,0.9358666666666668,50,25,"{'p_clean_lo': 0.00983959001879751, 'p_clean_hi': 0.2603058421052141, 'p_poison_lo': 0.34928163399133577, 'p_poison_hi': 0.7559763348527919, 'p_clean_miss_lo': 0.7396941578947858, 'p_clean_miss_hi': 0.9901604099812025, 'p_poison_miss_lo': 0.24402366514720802, 'p_poison_miss_hi': 0.6507183660086642, 'ratio': 1.3418125047311007, 'direction': 'event_poison_vs_clean'}"
42,50,16,0.05,1e-05,128,4,0.15,0.0,6,1,square,1.0,logreg,0.4,1.0,43.40606478401999,0.0183763322170968,2362.063564764908,0.48,0.0026666666666664,0.4783333333333333,0.4614666666666667,0.4852666666666665,0.9385333333333332,0.9358666666666668,50,25,"{'p_clean_lo': 0.00983959001879751, 'p_clean_hi': 0.2603058421052141, 'p_poison_lo': 0.34928163399133577, 'p_poison_hi': 0.7559763348527919, 'p_clean_miss_lo': 0.7396941578947858, 'p_clean_miss_hi': 0.9901604099812025, 'p_poison_miss_lo': 0.24402366514720802, 'p_poison_miss_hi': 0.6507183660086642, 'ratio': 1.3418125047311007, 'direction': 'event_poison_vs_clean'}"
42,50,16,0.05,1e-05,128,4,0.15,0.0,6,1,square,2.0,logreg,0.4,1.0,43.40606478401999,0.0183763322170968,2362.063564764908,0.48,0.0026666666666664,0.4783333333333333,0.4614666666666667,0.4852666666666665,0.9385333333333332,0.9358666666666668,50,25,"{'p_clean_lo': 0.00983959001879751, 'p_clean_hi': 0.2603058421052141, 'p_poison_lo': 0.34928163399133577, 'p_poison_hi': 0.7559763348527919, 'p_clean_miss_lo': 0.7396941578947858, 'p_clean_miss_hi': 0.9901604099812025, 'p_poison_miss_lo': 0.24402366514720802, 'p_poison_miss_hi': 0.6507183660086642, 'ratio': 1.3418125047311007, 'direction': 'event_poison_vs_clean'}"
42,50,16,0.05,1e-05,128,4,0.15,0.0,6,1,square,0.5,logreg,0.8,0.5,11.24642254152866,0.0352475450074573,319.0696696507304,0.64,0.0492666666666667,0.5133333333333333,0.4684666666666667,0.5991333333333334,0.9286666666666668,0.8794,50,25,"{'p_clean_lo': 0.025465396647733195, 'p_clean_hi': 0.31219030728623537, 'p_poison_lo': 0.5487119821833135, 'p_poison_hi': 0.9064355606682571, 'p_clean_miss_lo': 0.6878096927137647, 'p_clean_miss_hi': 0.9745346033522668, 'p_poison_miss_lo': 0.09356443933174288, 'p_poison_miss_hi': 0.4512880178166865, 'ratio': 1.7576201739031585, 'direction': 'event_poison_vs_clean'}"
42,50,16,0.05,1e-05,128,4,0.15,0.0,6,1,square,1.0,logreg,0.8,0.5,11.24642254152866,0.0352475450074573,319.0696696507304,0.64,0.0492666666666667,0.5133333333333333,0.4684666666666667,0.5991333333333334,0.9286666666666668,0.8794,50,25,"{'p_clean_lo': 0.025465396647733195, 'p_clean_hi': 0.31219030728623537, 'p_poison_lo': 0.5487119821833135, 'p_poison_hi': 0.9064355606682571, 'p_clean_miss_lo': 0.6878096927137647, 'p_clean_miss_hi': 0.9745346033522668, 'p_poison_miss_lo': 0.09356443933174288, 'p_poison_miss_hi': 0.4512880178166865, 'ratio': 1.7576201739031585, 'direction': 'event_poison_vs_clean'}"
42,50,16,0.05,1e-05,128,4,0.15,0.0,6,1,square,2.0,logreg,0.8,0.5,11.24642254152866,0.0352475450074573,319.0696696507304,0.64,0.0492666666666667,0.5133333333333333,0.4684666666666667,0.5991333333333334,0.9286666666666668,0.8794,50,25,"{'p_clean_lo': 0.025465396647733195, 'p_clean_hi': 0.31219030728623537, 'p_poison_lo': 0.5487119821833135, 'p_poison_hi': 0.9064355606682571, 'p_clean_miss_lo': 0.6878096927137647, 'p_clean_miss_hi': 0.9745346033522668, 'p_poison_miss_lo': 0.09356443933174288, 'p_poison_miss_hi': 0.4512880178166865, 'ratio': 1.7576201739031585, 'direction': 'event_poison_vs_clean'}"
42,50,16,0.05,1e-05,128,4,0.15,0.0,6,1,square,0.5,logreg,0.8,1.0,11.24642254152866,0.0183763322170968,612.0058349328976,0.48,0.0028666666666665,0.4783333333333333,0.4618666666666666,0.4854,0.9385333333333332,0.9356666666666666,50,25,"{'p_clean_lo': 0.00983959001879751, 'p_clean_hi': 0.2603058421052141, 'p_poison_lo': 0.34928163399133577, 'p_poison_hi': 0.7559763348527919, 'p_clean_miss_lo': 0.7396941578947858, 'p_clean_miss_hi': 0.9901604099812025, 'p_poison_miss_lo': 0.24402366514720802, 'p_poison_miss_hi': 0.6507183660086642, 'ratio': 1.3418125047311007, 'direction': 'event_poison_vs_clean'}"
